Review,Processed_Review,common_keywords_all,common_keywords_3_plus
생각보다 늦게 왔지만  맘에 드는 체크무늬랑 색감이고 크기도 적당해요 재질도 여름에 입어도 될 것 같아용 남자가 입음 좀 짧을수도 ?,생각보다 늦게 왔지만 맘에 드는 체크무늬랑 색감이고 크기도 적당해요 재질도 여름에 입어도 될 것 같아요 남자가 입음 좀 짧을 수도, 재질,"남자, 무늬, 색감, 수도, 이고, 재질, 적당하다, 짧다, 크기"
기장이랑 핏이 아주 좋네요 가성비 훌륭한 셔츠인것 같아요,기장이랑 핏이 아주 좋네요 가성비 훌륭한 셔츠인 것 같아요,,"가성비, 기장, 셔츠, 핏, 훌륭하다"
편하게 입기도 좋고 웨이트하는 사람이 입어도 충분히 잘 맞네요,편하게 입기도 좋고 웨이트 하는 사람이 입어도 충분히 잘 맞네요,,"맞다, 사람, 웨이트, 충분하다, 편하다"
안흔한 체크셔츠 찾다가 괜찮아보이길랴 구매했어요. 색감이쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인게 좀 아쉬웠지만 만족합니다!!,안 흔한 체크 셔츠 찾다가 괜찮아 보이 길랴 구매했어요 색감 이쁘고 핏도 좋고 재질도 부드럽고 좋은데 단추가 너무 하얀색인 게 좀 아쉬웠지만 만족합니다,,"단추, 만족하다, 보이, 부드럽다, 아쉽다, 재질, 찾다, 체크, 핏, 흔하다"
이 색상의 체크가 예뻐서 샀는데 유행인지 돌아 다니면 하루에 5명은 마주침..ㅠ 근데 예뻐서 포기할 수가 없음. 여름에 햇빛때문에 셔츠를 많이 입는데 부드럽고 가벼워서 계속 입고 출근하러갑니다..!  가격이 아쉽긴 하지만 그래도 만족합니다:),이 색상의 체크가 예뻐서 샀는데 유행인지 돌아다니면 하루에 명은 마주침 근데 예뻐서 포기할 수가 없음 여름에 햇빛 때문에 셔츠를 많이 입는데 부드럽고 가벼워서 계속 입고 출근하러 갑니다 가격이 아쉽긴 하지만 그래도 만족합니다, 유행,"돌아다니다, 마주치다, 색상, 유행, 인지, 출근, 햇빛"
원단이 얇아 여름에 입기 좋고 색감과 체크무늬가 마음에듭니다. 총장도 크게 길지않은점도 좋습니다.,원단이 얇아 여름에 입기 좋고 색감과 체크무늬가 마음에 듭니다 총장도 크게 길지 않은 점도 좋습니다, 색감,"길다, 무늬, 색감, 얇다, 여름, 원단, 점도, 체크, 총장"
마감은 너무 별로예요... 좀 충격적일정도로 실밥이... 팔 접어서 올리는데 깜짝 놀랐네요. 크롭한 기장과 두께감 모두 좋은데 마감은 좀 신경쓰셔야 할 것 같아요. ,마감은 너무 별로예요 좀 충격적일 정도로 실밥이 팔 접어서 올리는데 깜짝 놀랐네요 크롭 한 기장과 두께감 모두 좋은데 마감은 좀 신경 쓰셔야 할 것 같아요,,"기장, 깜짝, 마감, 신경, 실밥, 올리다, 접다, 충격, 크롭"
잠궈서 입으면 뭔가 덩치가 커보이는 핏이여서 오픈해서 이쁘게 입고 다닐 거 같습니다,잠가서 입으면 뭔가 덩치가 커 보이는 핏이어서 오픈해서 이쁘게 입고 다닐 거 같습니다,,"뭔가, 보이다, 오픈, 잠그다, 치가, 핏"
"평소 105착용 약간널널~딱 맞음 세탁 한번 했는데 구김이 잘 생기고 카라가 말림 핏과 색상 맘에 들어요 다만 가격이 좀 쌘편,, 4만원 초반대였으면 여러벌 사서 돌려입어도 좋을듯",평소 착용 약간널널딱 맞음 세탁 한번 했는데 구김이 잘 생기고 카라가 말림 핏과 색상 맘에 들어요 다만 가격이 좀 센 편 만원 초반대였으면 여러 벌 사서 돌려 입어도 좋을 듯,,"가격, 구김, 널널, 대다, 돌리다, 만원, 말림, 색상, 생기, 초반"
에어컨 많이 가동하는 곳에서 가끔 입는데 너무 이쁘고 적당히 얇아서 좋아요!,에어컨 많이 가동하는 곳에서 가끔 입는데 너무 이쁘고 적당히 얇아서 좋아요," 에어컨,  가동","가동, 곳, 얇다, 에어컨, 적당하다"
