Review,keyword
진짜 기본티 찾고 있었는데 좋아요. 심플 이즈 베스트 넘흐예브내형,"넘흐예브, 내형, 심플, 베스트, 티, 찾다, 이즈"
예일티셔츠 너무 조아요 천도 너무 좋고 맘에 들어요 편하게 잘 입을것 같아요 ,"티셔츠, 편하다, 예일, 조아, 천"
그냥 기본티로 입기 무난합니다. 재질도 좋고 사이즈도 괜찮고 만족합니다.,"만족하다, 사이즈, 그냥, 티, 재질"
"개인적으로 티셔츠는 세탁 후 변형 정도가 중요하다고 생각해서 후기 작성까지 좀 기다렸어요 ㅎ.. 사진은 2달 착용한 후 모습.  (구매일:03.29 / 작성일:06.14) 약 2달 착용하면서 세탁도 거의 10번 넘게 한 것 같은데, 목 부분 주름지는거 거의 없고 처음 상태랑 비슷해요. 전 키에 비해서 상체가 긴 편인데(특히 팔), 제 기준 팔꿈치 위 5cm 정도에서 소매가 끝나요. 사이즈 특정할때 참고하세요 :) ","세탁, 티셔츠, 팔꿈치, 사이즈, 구, 매일, 사진, 개인, 기다리다"
제 몸에 제 몸무게가 흔하지 않지만 혹시 계시면 보고 도움이 되면 좋겠습니다 얇기도 적당히 얇아서 더워지면 딱 입기좋고 비침도 없어요 이렇게 편한옷을 심지어 두장을 이 가격에 사게 돼서 놀랍네요 진짜 만족 중에 대 만족입니다!!,"몸무게, 더워지다, 편하다, 만족, 얇다"
처음에 M으로 구입했는데 몸통 둘레가 어벙하게 커서 S로 재구입 했어요 약간 오버핏으로 사이즈 딱이에요! 다음 페이지로 넘기시면 M사이즈 착용 올린 사진 있으니 비교해 보세요 저와 키 몸무게 비슷하신 분 S 추천합니다,"사이즈, 커서, 몸무게, 페이지, 사진, 몸통, 착용, 추천"
1. 174cm 77kg 2. L사이즈 구매했는데 생각보다 큼 3. 흰색컬러 생각보다 두꺼워 안에 나시입어도 잘 안비침 4. 팔소매부분 지름이 다른 옷보다 커 팔이 얇아보임 5. 안에 넣어 입어도 되고 밖으로 빼서 입어도 이쁨,"팔이, 얇다, 두껍다, 팔, 소매, 사이즈, 컬러"
옷감이 좋고 편하고 동네산책할때나 스타일내기 무난합니다 살이 비치지도 않고 정말 편하네요!,"옷감, 편하다, 산책, 스타일, 비치다, 살이"
"제 동생 사줬는데. 45~50키로는 s는 정핏같고,m은 살짝 오버핏느낌입니다. 참고하세요~^^","사주다, 정핏, 참고, 오버핏, 키, 로는, 동생"
너무 조하용~ 많이 클 까봐 걱정했는데 괜찮았어요!,"걱정, 까봐, 하용, 많이"
